Incident_ID,Summary,ContactType,label,label_num
INC2733418,kphc pc - 4 messages appeared today 1/15/19 with past dates in remote inbasket.,Phone,Healthcare Application Issues,0
INC4674911,afl/kphc: please unblock user (jennifer rousch  h480699),Phone,Healthcare Application Issues,0
INC4507611,duplicate accession nbm (jst),Direct Input,Healthcare Application Issues,0
INC1986402,sch / kphc inbasket - deployment messages appearing as being from the wrong location,Phone,Healthcare Application Issues,0
INC5151591,afl/kphc: please create the following pgp per attached spreadsheet.  instance:   va,Email,Healthcare Application Issues,0
INC6201229,(eur 12/3#cortext) please change last name from sheffler to williams,Phone,Healthcare Application Issues,0
INC0912914,kphc epiccare ambulatory cs production instance,Direct Input,Healthcare Application Issues,0
INC3983494,dau 21003 unlink care everywhere,Phone,Healthcare Application Issues,0
INC4809231,afl/kphc: please create the following pgp per attached spreadsheet.  instance:   ml,Email,Healthcare Application Issues,0
INC4701375,csl-2 07/10 08:14 (mscc) i'm having a cda launcher issue,Self-service,Healthcare Application Issues,0
INC4179996,sd-kphc-hospice-claims issue,Phone,Healthcare Application Issues,0
INC4180109,sd-kphc-hospice-claims issue,Phone,Healthcare Application Issues,0
INC2327615,"afl/kphc: please check emp for dual user (gelou, andrew w285796) to make sure everything is built as it should be.",Direct Input,Healthcare Application Issues,0
INC5588712,mlc-4 (10-02 6:40 pm) (mscc) i'm having a cda launcher issue,Self-service,Healthcare Application Issues,0
INC4265305,"afl/kphc: please reactivate user (david, sarena d389917).",Direct Input,Healthcare Application Issues,0
INC5293485,caller sees ( not authorized on cda launcher - no access since april,Phone,Healthcare Application Issues,0
INC6180809,client cannot sign in to cortext. invalid user id,Phone,Healthcare Application Issues,0
INC5117395,(val onc #outpatient) dr unable to send care giver notes see screen shot for error conf area. ,Phone,Healthcare Application Issues,0
INC3912499,ssc uro #outpatient - user receiving error when trying to order a surgicial case request,Phone,Healthcare Application Issues,0
INC0055203,ss-facility share-scan-nbm,Direct Input,Healthcare Application Issues,0
INC5792127,email inc - epic update,Email,Healthcare Application Issues,0
INC5223560,afl/kphc please create the following pgp per attached spreadsheet. instance: ie (fontana),Email,Healthcare Application Issues,0
INC3172753,call from trisha gi map re: inbasket ,Phone,Healthcare Application Issues,0
INC5600946,afl/kphc please create the following pgp per attached spreadsheet. instance: san diego,Email,Healthcare Application Issues,0
INC5497963,*urgent* imprivata eprescribe token not working for controlled substances,Phone,Healthcare Application Issues,0
INC2395095,fac share - psm - sbm (kjl/pn),Phone,Healthcare Application Issues,0
INC5876543,cda launcher,Self-service,Healthcare Application Issues,0
INC0748936,ss facility share - edm - haiku (jga/syg),Phone,Healthcare Application Issues,0
INC3910370,cda launcher closing  - still having issues as of 9/10/19,Self-service,Healthcare Application Issues,0
INC5432283,afl/kphc please create the following pgp per attached spreadsheet. instance: ml (los angeles),Email,Healthcare Application Issues,0
INC5772001,(ssc homehealth #outpatient)- kphc - unable to delete appointment which was created in error ,Phone,Healthcare Application Issues,0
INC0050545,ss-facility share-haiku-nbm,Direct Input,Healthcare Application Issues,0
INC2078632,"dr sharma, having trouble with signing onto her cortex messaging ",Phone,Healthcare Application Issues,0
